Global Step,Epoch,Training Loss,Validation Loss,Avg Active Layers Train,LR
20,1,7.4096,,12.8,3.00e-05
40,1,3.9515,,13.0,3.00e-05
60,1,3.3880,,13.1,2.99e-05
80,1,2.7641,,12.8,2.99e-05
100,1,1.9898,1.0584,12.9,2.98e-05
120,1,4.3100,1.0584,13.0,2.97e-05
140,1,1.6960,1.0584,12.8,2.96e-05
160,1,2.1601,1.0584,13.3,2.95e-05
180,1,1.2632,1.0584,13.1,2.93e-05
200,1,1.7155,0.7609,13.1,2.92e-05
220,1,1.5524,0.7609,13.1,2.90e-05
240,1,2.1046,0.7609,13.1,2.88e-05
260,1,0.7879,0.7609,13.0,2.86e-05
280,1,1.6320,0.7609,12.9,2.84e-05
300,1,0.7568,0.7508,13.1,2.81e-05
320,1,2.1493,0.7508,12.9,2.79e-05
340,1,1.7779,0.7508,13.1,2.76e-05
360,1,0.9842,0.7508,13.0,2.74e-05
380,1,2.6007,0.7508,12.9,2.71e-05
400,1,1.5408,0.7394,13.2,2.68e-05
420,1,1.7425,0.7394,13.1,2.64e-05
440,1,2.2278,0.7394,13.2,2.61e-05
460,1,1.1632,0.7394,13.0,2.58e-05
480,1,1.0303,0.7394,12.8,2.54e-05
500,1,0.9589,0.7451,13.0,2.50e-05
520,1,1.3821,0.7451,13.1,2.47e-05
540,1,0.8300,0.7451,12.9,2.43e-05
560,1,1.2368,0.7451,13.0,2.39e-05
580,1,1.4002,0.7451,12.8,2.35e-05
600,1,1.2713,0.7442,12.9,2.30e-05
620,1,1.2642,0.7442,13.0,2.26e-05
640,2,1.2062,0.7442,13.1,2.22e-05
