Epoch,Global Step,Training Loss,Validation Loss
1,10,6.495,7.1379
1,20,6.41,7.1379
1,30,5.9738,7.1379
1,40,6.206,7.1379
1,50,4.3707,7.1379
1,60,4.8538,7.1379
1,70,6.8045,7.1379
1,80,8.539,7.1379
1,90,4.2773,7.1379
1,100,6.5839,2.4086
1,110,3.7399,2.4086
1,120,2.7961,2.4086
1,130,3.1198,2.4086
1,140,3.9086,2.4086
1,150,3.9018,1.8264
1,160,2.2587,1.8264
1,170,5.2373,1.8264
1,180,2.4953,1.8264
1,190,3.8059,1.8264
1,200,2.7864,1.7031
1,210,3.6723,1.7031
1,220,1.7591,1.7031
1,230,1.9834,1.7031
1,240,2.428,1.7031
1,250,2.9594,1.659
1,260,6.4461,1.659
1,270,2.3152,1.659
1,280,2.2705,1.659
1,290,1.756,1.659
1,300,2.6006,1.5852
1,310,2.6483,1.5852
