Global Step,Epoch,Training Loss,Gradient Norm,Learning Rate
1,0.0160,6.2701,8.3878,0.00005
2,0.0320,6.8922,11.8947,0.000049
3,0.0480,7.1653,8.8980,0.000048
4,0.0640,7.0761,10.7779,0.000047
5,0.0800,5.8175,13.4576,0.000046
6,0.0960,7.3071,14.8419,0.000045
7,0.1120,7.8681,8.6709,0.000044
8,0.1280,5.9823,10.2181,0.000043
9,0.1440,6.5257,8.4858,0.000042
10,0.1600,7.5315,10.8238,0.000041
11,0.1760,5.7255,10.5931,0.00004
12,0.1920,5.3676,9.8752,0.000039
13,0.2080,5.8868,6.7880,0.000038
14,0.2240,6.8611,15.1106,0.000037
15,0.2400,7.8011,26.5798,0.000036
16,0.2560,7.4848,15.3033,0.000035
17,0.2720,8.5104,22.6937,0.000034
18,0.2880,6.6281,12.6794,0.000033
19,0.3040,6.7353,9.5638,0.000032
20,0.3200,6.1219,8.4037,0.000031
21,0.3360,5.6339,8.3969,0.00003
22,0.3520,5.6928,11.4060,0.000029
23,0.3680,6.0028,13.0383,0.000028
24,0.3840,5.5342,13.3501,0.000027
25,0.4000,6.0676,9.1722,0.000026
26,0.4160,5.8734,5.9066,0.000025
27,0.4320,6.1722,16.7217,0.000024
28,0.4480,6.7421,10.3518,0.000023
29,0.4640,5.6821,9.6678,0.000022
30,0.4800,4.9060,6.5443,0.000021
31,0.4960,6.1141,11.2905,0.00002
32,0.5120,7.1957,10.8941,0.000019
33,0.5280,6.6294,8.1880,0.000018
34,0.5440,7.0728,11.9348,0.000017
35,0.5600,6.1222,7.9286,0.000016
36,0.5760,7.7596,19.2321,0.000015
37,0.5920,5.6444,16.2149,0.000014
38,0.6080,7.2239,14.7028,0.000013
39,0.6240,7.2934,15.2768,0.000012
40,0.6400,7.4900,12.9896,0.000011
41,0.6560,5.1680,9.7619,0.00001
42,0.6720,7.3389,14.2435,0.000009
43,0.6880,6.4544,12.7702,0.000008
44,0.7040,7.3462,12.3958,0.000007
45,0.7200,6.1459,14.9620,0.000006
46,0.7360,5.9618,9.7774,0.000005
47,0.7520,6.7386,14.4788,0.000004
48,0.7680,6.5586,18.9237,0.000003
49,0.7840,7.0936,11.1072,0.000002
50,0.8000,5.4599,11.8439,0.000001
